Date,PM10
2015-07-12,6.809249166666667
2015-07-13,12.595212916666668
2015-07-14,7.81262375
2015-07-15,8.346775
2015-07-16,10.625055833333333
2015-07-17,7.705986666666667
2015-07-18,12.915899166666668
2015-07-19,8.607506666666668
2015-07-20,7.361435416666667
2015-07-21,13.782147916666666
2015-07-22,11.492612083333334
2015-07-23,10.5936
2015-07-24,10.300332
2015-07-27,18.74536923076923
2015-07-28,14.017450416666668
2015-07-29,8.897069166666666
2015-07-30,9.023888333333334
2015-07-31,7.576215416666667
2015-08-01,9.917753750000001
2015-08-02,20.579950416666666
2015-08-03,22.94569375
2015-08-04,16.37077916666667
2015-08-05,35.84852791666667
2015-08-06,11.41694125
2015-08-07,31.11099541666667
2015-08-08,50.810004166666666
2015-08-09,10.861405416666665
2015-08-10,11.42420625
